cve_municipio,desc_municipio,1990,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
18,Cajeme,,9114.0,8985.0,8679.0,8429.0,8715.0,8802.0,8948.0,8668.0,8608.0,8205.0,7999.0,7708.0,7916.0,7766.0,7727.0,8011.0,7804.0,7833.0,7824.0,7635.0,7523.0,6949.0,6794.0,6610.0,6238.0,6248.0,4524.0
19,Cananea,,834.0,816.0,786.0,793.0,810.0,774.0,801.0,764.0,700.0,679.0,687.0,721.0,726.0,756.0,674.0,670.0,550.0,699.0,683.0,724.0,755.0,751.0,765.0,761.0,699.0,654.0,472.0
20,Carbó,,153.0,122.0,124.0,117.0,145.0,115.0,122.0,107.0,102.0,115.0,116.0,132.0,102.0,109.0,92.0,102.0,134.0,106.0,109.0,96.0,103.0,85.0,83.0,79.0,68.0,92.0,88.0
21,La Colorada,,49.0,47.0,61.0,51.0,55.0,44.0,43.0,41.0,29.0,28.0,38.0,18.0,20.0,29.0,18.0,35.0,25.0,26.0,23.0,19.0,28.0,23.0,8.0,21.0,20.0,29.0,32.0
22,Cucurpe,,23.0,17.0,23.0,21.0,24.0,13.0,28.0,18.0,19.0,19.0,20.0,16.0,24.0,15.0,20.0,12.0,18.0,20.0,17.0,17.0,16.0,15.0,12.0,6.0,5.0,13.0,11.0
23,Cumpas,,135.0,118.0,141.0,128.0,131.0,114.0,131.0,109.0,114.0,111.0,92.0,113.0,97.0,97.0,101.0,109.0,77.0,94.0,98.0,89.0,89.0,63.0,77.0,68.0,66.0,53.0,53.0
24,Divisaderos,,19.0,18.0,16.0,8.0,17.0,20.0,13.0,11.0,13.0,6.0,13.0,22.0,8.0,8.0,15.0,22.0,14.0,15.0,13.0,14.0,12.0,9.0,6.0,9.0,8.0,10.0,6.0
25,Empalme,,1196.0,1218.0,1255.0,1286.0,1327.0,1290.0,1235.0,1258.0,1304.0,1226.0,1126.0,1087.0,1167.0,1106.0,997.0,1037.0,950.0,1151.0,1037.0,990.0,1043.0,1018.0,1020.0,967.0,902.0,890.0,708.0
26,Etchojoa,,3035.0,1987.0,2509.0,2307.0,1420.0,1646.0,1565.0,1543.0,1654.0,1429.0,1478.0,1440.0,1330.0,1443.0,1366.0,1232.0,1273.0,1183.0,1082.0,1148.0,1143.0,1113.0,998.0,1032.0,1027.0,1028.0,858.0
27,Fronteras,,175.0,227.0,211.0,246.0,221.0,235.0,255.0,245.0,234.0,173.0,192.0,204.0,235.0,259.0,246.0,212.0,216.0,197.0,183.0,201.0,183.0,171.0,167.0,134.0,154.0,158.0,140.0
28,Granados,,27.0,20.0,25.0,27.0,15.0,22.0,20.0,21.0,27.0,20.0,28.0,22.0,25.0,15.0,13.0,14.0,20.0,16.0,18.0,14.0,13.0,12.0,11.0,7.0,11.0,11.0,2.0
29,Guaymas,,3409.0,3652.0,3645.0,3736.0,3234.0,3456.0,3766.0,3335.0,3344.0,3705.0,2939.0,2937.0,2906.0,2963.0,2985.0,2905.0,3065.0,3057.0,3066.0,3040.0,3017.0,2869.0,2719.0,2679.0,2507.0,2480.0,1609.0
30,Hermosillo,,14921.0,14683.0,14502.0,14653.0,15010.0,14750.0,15311.0,15167.0,15351.0,14671.0,14712.0,14649.0,14857.0,16030.0,15943.0,15913.0,15916.0,16445.0,15879.0,16322.0,16053.0,14903.0,14204.0,13857.0,13166.0,13314.0,8841.0
31,Huachinera,,38.0,34.0,33.0,23.0,36.0,41.0,25.0,35.0,27.0,26.0,30.0,30.0,29.0,26.0,23.0,21.0,30.0,17.0,19.0,17.0,12.0,18.0,23.0,16.0,19.0,5.0,15.0
32,Huásabas,,21.0,26.0,19.0,21.0,16.0,17.0,20.0,15.0,20.0,24.0,10.0,20.0,18.0,11.0,14.0,9.0,9.0,12.0,12.0,5.0,6.0,16.0,5.0,5.0,8.0,7.0,7.0
33,Huatabampo,,2130.0,2002.0,1960.0,1978.0,1894.0,2053.0,2070.0,1847.0,2168.0,1763.0,1667.0,1744.0,1646.0,1735.0,1566.0,1490.0,1561.0,1488.0,1398.0,1303.0,1274.0,1298.0,1215.0,1236.0,1211.0,1186.0,931.0
34,Huépac,,25.0,30.0,17.0,23.0,19.0,23.0,16.0,12.0,24.0,16.0,21.0,20.0,11.0,15.0,11.0,20.0,11.0,10.0,3.0,9.0,12.0,12.0,7.0,12.0,6.0,13.0,4.0
35,Imuris,,273.0,359.0,319.0,278.0,317.0,292.0,303.0,290.0,307.0,272.0,275.0,285.0,287.0,282.0,285.0,276.0,275.0,301.0,294.0,245.0,242.0,241.0,248.0,255.0,231.0,228.0,111.0
36,Magdalena,,607.0,647.0,697.0,653.0,670.0,692.0,666.0,697.0,662.0,714.0,662.0,661.0,635.0,611.0,637.0,650.0,641.0,641.0,647.0,682.0,601.0,591.0,607.0,547.0,502.0,509.0,395.0
